Query is the topic title = "Convicts, repeat offenders"
Doc_ID ModelC_Score
26061 15.690036047214743
58476 14.589283708477591
11922 11.964753520272634
12767 9.981090446817607
12769 9.638438987278318
82227 8.385697093894695
78836 8.156273139193033
57914 7.803200958858358
48805 5.4416722356654965
47516 5.236291705732443
65414 2.5713241959961595
64664 1.2806591300796966
81494 0.3358198522440299
32366 0.2086490518721118
9479 0.07504192112387575
17609 0.0
6635 0.0
7937 0.0
19634 -0.04405127761338423
11960 -0.06611428657576024
33188 -0.15349818017630046
70306 -0.21429987012484153
86912 -0.3543013119020708
86929 -0.3549056096869536
61689 -0.5915861947916705
76675 -0.8704163801338956
54780 -0.8834075974738713
64626 -0.9242487575165858
12825 -0.9383832073822788
9358 -1.0592955053171513
65364 -1.0794838965027929
29913 -1.1508578498178617
13345 -1.2636443713053267
25103 -1.4313286465645532
53523 -1.471682832911466
85372 -1.6766429447785274
73038 -1.7070428239183828
24485 -1.804965547096145
33203 -1.8227195974568238
4358 -1.853107883590566
26080 -1.8604698322838407
22858 -1.9570974528759444
53469 -2.1047932124958826
12812 -2.132358246712693
17587 -2.17606308788237
11083 -2.2317313917988386
73746 -2.4029808403729156
9726 -2.5623764119419916
28662 -2.7219787775318594
29908 -2.727580536201004
54762 -2.749602852387393
76690 -2.9068846632264425
76635 -2.9968743595219514
44865 -3.0502313071623828
39349 -3.2424007657987257
56829 -3.2496806117925754
77310 -3.361813217961341
9703 -3.381317685385499
70668 -3.420391157987352
36447 -3.48241545651734
54745 -3.620634720825082
8327 -3.6502465397114836
8455 -3.709269940825167
22751 -3.752722649341709
65306 -3.7629844346798262
68419 -3.7629844346798262
13332 -3.777975654355418
23377 -3.7785322670877632
19615 -3.807835066001056
20705 -3.814764861455772
38442 -3.8413105914805863
79759 -3.891236384928234
25096 -3.9314965125935935
24550 -3.9521407243853064
37078 -3.978893839591922
20199 -4.036865072556233
22690 -4.051328685172535
33172 -4.052308522757703
29904 -4.069926815336793
9790 -4.09573997371555
17619 -4.115490493450202
3833 -4.122330055843695
6503 -4.132719428615734
26611 -4.262708819215638
78982 -4.309505953088975
8333 -4.332866277156294
3972 -4.367666440860406
11481 -4.369584436637764
3827 -4.372934790231293
49884 -4.393707732221404
73762 -4.394315788164709
53682 -4.3989193219646125
6534 -4.423050978707603
20127 -4.481892353494569
11979 -4.513178203383793
19599 -4.5159385567954295
75563 -4.520208706487866
46736 -4.587536029239978
51210 -4.587536029239978
73706 -4.659391480506683
16954 -4.665743939945259
67280 -4.830987679062152
71001 -4.837180305700046
13335 -4.915237695863692
44758 -4.928374634136785
47551 -4.934934060653262
17517 -4.937896880608283
12479 -4.938227247134483
19781 -4.962686414144011
20156 -4.962686414144011
24515 -4.977575400820864
49815 -4.979258795901179
29911 -5.024044521249875
6497 -5.024958534357515
3835 -5.03881293936885
3828 -5.052868782276392
41541 -5.0629167332685805
7115 -5.068973676823362
15082 -5.083109497064806
58755 -5.10536837150155
20201 -5.110887254867791
29314 -5.13166222180789
16390 -5.179819405918414
13313 -5.218978764981147
4306 -5.224169425593156
16575 -5.245920235090475
41594 -5.250956250185877
81731 -5.255713187695667
27384 -5.294280558600048
27870 -5.300673366761669
29935 -5.369211549373347
76766 -5.369637463303293
53502 -5.374404513918474
64645 -5.380598674975255
49856 -5.3853682603599236
65446 -5.390952916178822
19601 -5.406990878085082
65036 -5.413167627506255
30456 -5.433549388025677
30486 -5.482149166583432
14713 -5.572287959459693
13342 -5.575052948732953
29906 -5.591648720054282
27386 -5.6187712486419334
20160 -5.632821249656112
7118 -5.643616005976707
65394 -5.671033577189715
14707 -5.698310772742912
73320 -5.70610759326127
64657 -5.720944897215907
3976 -5.764813798954447
4395 -5.785226618735693
11923 -5.850787698400152
25699 -5.853402670501147
16922 -5.875020944340761
33668 -5.876319578798621
24490 -5.890284754479445
6498 -5.93811509194879
11930 -5.960297842791428
20133 -5.976208745185576
4439 -5.976516826035039
28657 -5.994545852126951
7502 -6.008205321285794
73641 -6.026654600997658
4310 -6.03113757935766
11485 -6.083520219573582
3834 -6.10066545725144
44163 -6.125810837199614
25205 -6.1376184633091775
21895 -6.137708667734598
73598 -6.148233447259523
79021 -6.158461682688005
15200 -6.183829621708479
13320 -6.1886176818512535
71368 -6.224181251273913
68909 -6.233801688905911
4933 -6.293677711574859
15077 -6.295856074064769
20688 -6.30937674279513
29894 -6.320976743047158
29920 -6.344237328602144
35396 -6.4236733391664815
19033 -6.440360786481887
3265 -6.509201073495248
67861 -6.554848572397531
16897 -6.61976360188434
25100 -6.666092362861866
66107 -6.693250684248606
20766 -6.704730617452462
6636 -6.96118141534354
26603 -7.069691370441426
4881 -7.188793322630173
10182 -7.201809015983087
16899 -7.224967528790175
73614 -7.2415732421725565
3837 -7.2775839787275896
6735 -7.379773755688598
13314 -7.589621609845305
5862 -7.995512252745338
