Query is the topic title = "Rescue of kidnapped children"
Doc_ID ModelC_Score
22961 50.16796490151684
27966 50.0577101209631
31141 50.01306935747139
6635 49.929687476484965
7937 49.92028897331902
9591 1.0777166510963996
24494 -1.1721204214581584
25824 -1.1721204214581584
26598 -1.476418998194058
50641 -2.447477810696325
4762 -3.106148934254629
39939 -3.3664788873421436
37688 -3.556872966926031
56040 -3.7220676035916105
39895 -3.9520462983850075
6793 -3.9703903885030423
3972 -4.138309259935166
46832 -4.230147415971852
39893 -4.684020485609056
42529 -4.737700599168061
53721 -5.66902445651447
19634 -6.234646271326139
27892 -6.256721097778113
43392 -6.265856015695063
13342 -6.378923841237887
85438 -6.455767137183585
19224 -6.572504366352067
53523 -6.636435678869818
66107 -6.711749965053154
44237 -6.856158813163722
29935 -7.199745006295065
46736 -7.517272528386897
51210 -7.517272528386897
41594 -7.518559534699594
33203 -7.528310015099072
53469 -7.568994029156245
56149 -7.579113366379788
53515 -7.587976298815905
24550 -7.610598932127881
49884 -7.619789116879963
53682 -7.62607585110479
39349 -7.668723111052302
64664 -7.766895028177007
24515 -7.8637572127204605
6735 -7.909004712344541
75949 -7.967762945952289
76690 -8.038164314306464
13345 -8.043094926871074
16390 -8.078889861479858
73762 -8.166949950742346
65446 -8.19555919715939
53560 -8.298468164652903
16954 -8.31411373435737
65036 -8.326110158972472
17619 -8.420110226100293
44758 -8.42297477739385
56829 -8.493262615391458
9790 -8.632996758538333
25205 -8.661428620726868
73320 -8.748902613854934
64645 -8.806014879711595
70668 -8.985778039833347
73641 -8.989808934583937
16922 -9.014637774046806
27386 -9.050624569072827
17609 -9.10423391571691
26582 -9.238260521057903
73746 -9.27925346979736
3265 -9.305227335824922
26113 -9.364694730498487
20705 -9.482370773085016
77310 -9.50319724864553
9726 -9.576907460430263
47551 -9.584012507424942
65306 -9.598061556548444
68419 -9.598061556548444
61689 -9.603762010576666
37078 -9.612041699857876
26080 -9.630830522328793
24498 -9.636932414127209
64657 -9.737152817738075
5862 -9.73946746996514
54762 -9.746854231855957
19781 -9.749066825483165
20156 -9.749066825483165
3835 -9.879905066368575
11083 -9.895247673539936
73706 -9.934110050409574
13314 -9.95792917139725
54745 -10.011492421305457
14713 -10.040066595911998
4395 -10.053543723897832
20199 -10.086977369257044
79021 -10.08730214546194
8455 -10.091617591739048
29920 -10.106423139210701
6497 -10.180725330884005
28657 -10.232653795919052
53502 -10.238220208425732
4358 -10.252309384788592
73598 -10.276362263972848
22751 -10.295603216735225
71368 -10.323619544865675
49856 -10.339951074626352
13332 -10.401432936854
3834 -10.422798512629576
81731 -10.431743860589746
64626 -10.453614754050246
71001 -10.492589395630349
30456 -10.52732394557683
36447 -10.554118122975636
65394 -10.567013571360958
24485 -10.58573427826316
65364 -10.631868822777353
44865 -10.635252991340774
8327 -10.656102435319502
3828 -10.68908088023473
25096 -10.80957550611674
26603 -10.82526405111983
6534 -10.838023605057545
9703 -10.859898482813572
33668 -10.925937438750857
49815 -11.033129693510949
25103 -11.15561731638616
19033 -11.181889262654197
14707 -11.314474516527545
67280 -11.356494075954863
17587 -11.408590405402569
6503 -11.425569243685638
58755 -11.461626070038838
4881 -11.489380581009314
7118 -11.544558175825959
12825 -11.55226050203385
8333 -11.616597319996908
4439 -11.635537899189385
3976 -11.661886728819399
4310 -11.698626522875314
20201 -11.830484013806766
73614 -11.904166404821634
23377 -11.915299232066848
7502 -11.921936970409815
44163 -11.952120979136133
76766 -12.050635219989802
3833 -12.13135550254312
13313 -12.184554027068481
11960 -12.222141826657122
4306 -12.255931577788292
29911 -12.31585523591849
29906 -12.347680884310359
11979 -12.359399086136703
33172 -12.412182285529289
28662 -12.465746219067038
19601 -12.475186828666686
20127 -12.503531784615019
16899 -12.509309768460655
25100 -12.518466499617398
15200 -12.546266636507186
26611 -12.550797575471377
13320 -12.551903155969846
20160 -12.680874471227298
3827 -12.681732032735832
24490 -12.69238512487829
29908 -12.69611284503088
19599 -12.73464831039985
17517 -12.748634811113291
29913 -12.767013196706484
20133 -12.777198157977207
15077 -12.804398648714761
15082 -12.804842472551039
11481 -12.845353344939427
35396 -12.876277812840112
21895 -12.894038845246188
20688 -12.899704581841519
30486 -12.93173110130342
6636 -12.938725648272401
38442 -12.942469027238555
25699 -12.95562864784449
22690 -12.957702042340594
12479 -12.974220898756883
27870 -12.981308189485251
6498 -13.01458436923025
16897 -13.028121021077016
7115 -13.040087577205783
29904 -13.04260141268466
29894 -13.075870891283987
27384 -13.112061048404046
19615 -13.130774416419667
11485 -13.195279620785614
20766 -13.283526313431732
13335 -13.317805325844766
11923 -13.533977656133352
11930 -13.651781236324656
12812 -13.701012492885132
3837 -13.723192296577965
