Query is the topic title = "Government supported school vouchers"
Doc_ID ModelC_Score
51441 30.0728715320783
49023 17.515148252583565
7914 14.686731450622808
73731 14.553227220266368
70854 2.4748993559060004
55891 1.9036420350583045
68829 1.3644412247420092
16841 0.8658836591738548
16723 0.6162822045981164
25029 0.3532626949470954
76556 -0.007818195803773298
61644 -0.7660549612094338
41355 -0.8004667246507142
35782 -0.8214389620033301
3648 -1.0750270105007127
67169 -1.5120539796965053
31281 -1.8403063844502223
32963 -1.8493182982096144
32528 -2.0178500681381983
70606 -2.2665484195755923
6409 -2.3048646202169336
55974 -2.3570754427027754
41521 -2.486207919979878
6386 -2.5022207091755893
67135 -2.5430337286706317
2800 -2.6791609900228397
46632 -2.7856310740087418
59301 -2.8318742733927023
64336 -2.891020977997589
8085 -2.980971167248629
86068 -3.0287499005137914
44597 -3.155557228173031
6399 -3.4617326963986503
75558 -3.476726008067168
53364 -3.4972227224658954
56686 -3.5751707245358713
47424 -3.575599773240094
50516 -3.607095325158123
76481 -3.6175198572209553
53259 -3.6179339678723754
19526 -3.70739789530256
61487 -3.7471326925500548
49731 -3.7572754400319694
70619 -3.9309024790758786
