Query is the topic title = "Tourism Great Britain"
Doc_ID ModelC_Score
71157 -5.143391929172408
36212 -7.329793239323419
66686 -7.972474669074676
18297 -8.324722439960297
18529 -8.334018887858768
3169 -8.576268387491842
79950 -8.626847456956703
37330 -8.653609138574318
45168 -8.741430832411082
17930 -8.752890048714116
86286 -8.791289085188685
69377 -8.794237144894076
31249 -8.821406785306042
31947 -8.821406785306042
78164 -8.912702769952656
59244 -8.967121393386048
67673 -9.015302209174038
71159 -9.016526712405609
25590 -9.038458994686684
15865 -9.039178679085241
77936 -9.077159592096397
41791 -9.182867773207626
72535 -9.226216738743092
62594 -9.305918348275124
63689 -9.314080406870515
42848 -9.415776707423635
57876 -9.440760486600853
75282 -9.489521426438289
71894 -9.502611352391872
58209 -9.519251394807632
45161 -9.52515798354301
31761 -9.558439429536897
9462 -9.60503065439227
55602 -9.65786953014985
17736 -9.739492294958351
61532 -9.760797310083804
28185 -9.809659861785944
18552 -9.855926141435171
31404 -9.863020791234447
60334 -9.884093349765514
38356 -9.920649400906015
86459 -9.924103453602497
7622 -9.926607476489666
8007 -9.926607476489666
42439 -9.930528674702895
10117 -9.93259009955668
79823 -9.961995844609666
20760 -9.971998969957383
48786 -9.993982204940822
23437 -10.002627872386306
63648 -10.036625421716145
47338 -10.037739025304361
59521 -10.05109633763044
48098 -10.056429768530618
51576 -10.080597343883804
7535 -10.110709718225042
52237 -10.118531318474231
76772 -10.145472596824492
67107 -10.290481570578612
67411 -10.290481570578612
45642 -10.47081922751661
