Query is the topic title = "Harmful weight-loss drugs"
Doc_ID ModelC_Score
82290 -8.093704918510346
5176 -8.194981052203637
5177 -8.194981052203637
10759 -8.241764784778201
2829 -8.277237225016668
19961 -8.80182702441396
10810 -8.893483013982253
54814 -8.99665225343719
82981 -9.03453230235664
82392 -9.126354139895383
81929 -9.148497245483108
54925 -9.153787117454742
80518 -9.196865676917497
84420 -9.206930503704505
57755 -9.229423760998069
8780 -9.231320513932133
67204 -9.251393551816893
54765 -9.262071188592175
49460 -9.276687227332275
26058 -9.294214243991648
58507 -9.322090641214075
8938 -9.325148663872529
22662 -9.328057212048135
14838 -9.328684355318769
63369 -9.35376838765545
22169 -9.353811073368142
58553 -9.424357671484088
50314 -9.428947707216388
49600 -9.430053946699212
61652 -9.438799087039317
84364 -9.443361313232927
56511 -9.471166970346362
43241 -9.482544470996555
49709 -9.494007046529731
33970 -9.519109574341185
83932 -9.522478306948255
77920 -9.528619657314767
80449 -9.528619657314767
52263 -9.540627072051066
32662 -9.54905716606153
76314 -9.550106207452721
85265 -9.572441439941203
50264 -9.582948623157867
84272 -9.616070191428076
14942 -9.662008958476823
79295 -9.667948549804462
78878 -9.675701672054597
52301 -9.684086269381334
44714 -9.714286956193474
35073 -9.724777785415567
5650 -9.75115913293321
63616 -9.789060275464893
76353 -9.91956829595886
