Query is the topic title = "School bus accidents"
Doc_ID ModelC_Score
78269 -8.247567925577393
59464 -8.339741559291223
78115 -8.430554502320668
83201 -9.186793681917216
70466 -9.266594627427304
85553 -9.42898186796533
85601 -9.769623524685324
41121 -10.118652424995554
53046 -10.309166237136651
81350 -10.31336579276291
15927 -10.402354887787899
12858 -10.408103061926987
16894 -10.419976701435502
6104 -10.433230713443184
38350 -10.451601636028268
8620 -10.464805274120128
64800 -10.524671912973808
27128 -10.53129584556273
27209 -10.545559190831222
34745 -10.582940521769048
38383 -10.591128091951349
14376 -10.611993106491031
18250 -10.654513782761516
22002 -10.660530304722245
61149 -10.691264811259728
54220 -10.700424236447093
54467 -10.700738550594632
18246 -10.708291478226903
54214 -10.724410765944066
48882 -10.748212192016773
83304 -10.780081476625549
68780 -10.817531341546742
39944 -10.861181858481745
58748 -10.864667819752054
5166 -10.883571227222664
13364 -10.885983979683775
47596 -10.944935456207057
54208 -10.949758621537711
13348 -10.963180794933505
78125 -10.982772669539607
22021 -10.994608236510311
39961 -11.103387250993476
69471 -11.108231526513066
23536 -11.636777769080101
30217 -11.644680511002454
27966 -11.64561753509998
19797 -11.64609290033518
22961 -11.64609290033518
17276 -11.646902912513793
7937 -11.647163248510529
6635 -11.648264345862952
31141 -11.650653765576072
73326 -11.663686592854413
68028 -11.663830127747474
5410 -11.666412773154333
5418 -11.666453950419045
42641 -11.724447933782965
