Query is the topic title = "Effects of global warming"
Doc_ID ModelC_Score
18879 -5.8693283526684
38452 -9.361647675537485
60810 -9.458914715749266
25303 -9.564444151164977
18405 -9.643261273738283
28014 -9.739816742885976
26700 -9.784782824390147
58634 -9.788055511511548
38330 -9.894217439003686
16921 -9.920766746404569
55340 -9.927425806787902
57956 -9.927425806787902
5723 -9.990288987008507
78708 -9.997611231634556
72354 -10.06475344721131
21110 -10.08744519052331
20834 -10.128043841221084
24474 -10.21651439259896
58581 -10.248573900742711
28789 -10.256685756148052
84591 -10.305154388592545
34622 -10.321372900510534
34534 -10.36969201131417
39347 -10.472179716262806
37685 -10.474379480804105
