Query is the topic title = "Progress in treatment of schizophrenia"
Doc_ID ModelC_Score
80908 -7.4118038758137175
2906 -8.050325454994505
61677 -8.150474978359991
64892 -8.240210104665982
43173 -8.244180057566583
28903 -8.360380586163997
63369 -8.885795617899397
28826 -8.8880516122148
20763 -8.925878766475616
57755 -9.222711145179584
33112 -9.241533849020398
49709 -9.263026466536028
26058 -9.314547943168748
50269 -9.334728323462524
26651 -9.372073982973372
47129 -9.449645525419735
9544 -9.461102836746138
63176 -9.484620755183368
43241 -9.506562346567279
8300 -9.540848049741069
35104 -9.587283015227285
37614 -9.664892572191214
84529 -9.71744417812527
72892 -9.806201269108659
13367 -9.814787457143371
53426 -9.834473449511094
59350 -9.854888000815539
64442 -9.855345186210885
68843 -9.86332369732256
69421 -9.883964074392185
2798 -9.906656675019264
83223 -9.953593639975361
