Query is the topic title = "Deaths mining accidents"
Doc_ID ModelC_Score
48981 -6.789579070801658
39184 -8.373499238136352
62781 -8.483699040404156
24062 -9.201095495711362
21903 -9.29500652429145
20830 -9.334801514251618
71948 -9.346168826036566
15690 -9.409912979457065
69633 -9.420405311665368
55400 -9.472053552052289
16241 -9.484102360003131
43393 -9.492564113618755
75338 -9.507893250656485
49288 -9.51812121916864
49328 -9.524588748854947
78092 -9.52565014490905
78091 -9.529789315959675
45819 -9.583139257843603
69629 -9.596771014050985
71406 -9.596771014050985
22769 -9.612418054540784
81047 -9.614752009536025
45828 -9.616726049306948
71759 -9.670831019932656
39652 -9.675249217678676
33737 -9.702633390299585
34178 -9.714799033331811
12555 -9.716294722373906
25918 -9.719871453374466
3156 -9.725970327987913
9980 -9.731008746006223
15861 -9.744111065939853
47759 -9.746699258623766
24271 -9.77597231285637
57033 -9.778645189274616
11627 -9.799469236812323
64800 -9.879277000684855
4527 -9.892483038276119
23947 -9.899354031874124
26947 -9.903049926985588
49144 -9.91942191956329
36959 -9.930310270036015
2786 -9.937810822002623
21067 -9.953816742620003
75135 -9.966070171046866
86836 -9.982276448477734
47783 -10.057438993682041
39712 -10.064406901145087
3149 -10.091503062662095
23601 -10.124416944617366
10994 -10.136330476531828
32907 -10.191379701087978
22083 -10.251572204988342
67460 -10.253123716791944
