Query is the topic title = "China Pakistan nuclear missile"
Doc_ID ModelC_Score
13294 -7.2479334041777586
15074 -7.2479334041777586
17004 -7.517734529366963
13309 -7.9389581677221654
14772 -8.153863951877772
15410 -8.390291088261511
15415 -8.741207397708441
14556 -8.934928553112139
14439 -8.967273774013401
7320 -9.008781798058623
75621 -9.102458988962418
79669 -9.102458988962418
7289 -9.118743096554091
49980 -9.170115577309696
6604 -9.207548422755664
50029 -9.239112457270467
16992 -9.270248213272604
79604 -9.280010478772972
29645 -9.292014096842111
58913 -9.299857641994034
45221 -9.340516865957403
44187 -9.355732613553563
47899 -9.372792000874453
62800 -9.401248295994883
46229 -9.417479586863527
9384 -9.418492692295919
3868 -9.450333000121597
34792 -9.451811094998659
9819 -9.481914980496509
9820 -9.491479826542621
75560 -9.529052607788099
43938 -9.552694820833027
39215 -9.563647123085241
3885 -9.586293914443301
11445 -9.597203027284255
17857 -9.62164498816528
75389 -9.655823749290711
54296 -9.69979057144336
9993 -9.700218196361671
29520 -9.7002883525922
14655 -9.715011706106218
15288 -9.722199148636669
7730 -9.724188285603482
17782 -9.759217888854689
13221 -9.761694757268227
71726 -9.762437395051075
81408 -9.76718650618357
71564 -9.778103491318829
38684 -9.785310670135765
33391 -9.789365910927053
34744 -9.790391346019037
17787 -9.803709813432038
16632 -9.807375450053804
77066 -9.807715052417219
10675 -9.816328583575954
75327 -9.837783219192069
29535 -9.85961961963972
42245 -9.86003198648947
14486 -9.865999499992046
46302 -9.922459499466761
5108 -9.938516673567971
13518 -9.952837561702514
59764 -9.965078359596458
18345 -9.965126864690903
25392 -9.974883534808347
45050 -9.976883329286068
28141 -9.977114449452817
80049 -9.990732429837216
37711 -10.020279246306423
65688 -10.021531711445164
20412 -10.07312814532773
23121 -10.08244792905704
20858 -10.084854743937337
57102 -10.08839262484001
82630 -10.093808224839956
5140 -10.125360425058117
77009 -10.148735911218514
73898 -10.284741775095714
68028 -10.324483045759912
31141 -10.324524708105631
73326 -10.328022987417933
