Query is the topic title = "Aborigine health"
Doc_ID ModelC_Score
9981 -9.080248025216596
21511 -9.146019865374587
19285 -9.362958991537344
74036 -9.395978805452692
61262 -9.450589582201816
69236 -9.492169589514146
78418 -9.536824864231958
53830 -9.557273295875005
46194 -9.578691866520677
75278 -9.609978742682655
65604 -9.620053638754726
13147 -9.62878490306163
12109 -9.653281300665276
14377 -9.659374892470035
7225 -9.665970025976979
30653 -9.724800648143344
79951 -9.75615688726272
4528 -9.785646895228115
78447 -9.813366703827471
79988 -9.848962080703744
20350 -9.904115234215716
25328 -9.932325522800577
2725 -9.948003881330918
2415 -9.965993863900545
2346 -9.966389952031255
2345 -9.970527060893792
4546 -10.006913862112746
74846 -10.069209532814602
65633 -10.103672290702095
68716 -10.180282171172207
68718 -10.286606886950075
11302 -10.540625548732509
57243 -10.558725975384304
