Query is the topic title = "Nuclear plants U.S."
Doc_ID ModelC_Score
67522 -7.933327736338293
38191 -7.985206292815008
59083 -7.99628490491504
14933 -8.037512504420475
86111 -8.16304840440837
56499 -8.164872461620474
76216 -8.175870492504275
45159 -8.219613373818737
15228 -8.269399927697053
78479 -8.297391830334778
63280 -8.31207002889931
46655 -8.3209723721419
4984 -8.3370476025874
71223 -8.342168555951897
78775 -8.34925380336657
69725 -8.367524077799319
6940 -8.381094094011333
22250 -8.384163500756312
40554 -8.389757146211611
80102 -8.393529830764612
45374 -8.425663671306054
9384 -8.430447792414013
60588 -8.432075651422702
78928 -8.441017918282304
66301 -8.46930160679325
74632 -8.47466255056768
19953 -8.56246721216484
75770 -8.61050331199035
83225 -8.688089628447978
