Query is the topic title = "Child labor laws"
Doc_ID ModelC_Score
3740 -7.523789868189036
61170 -8.829901464411025
64070 -8.856496561965427
66961 -8.880326289864469
70233 -8.891538759758124
27215 -9.08827245247213
75201 -9.171191570203687
24214 -9.2817961313142
64033 -9.321735440163001
66923 -9.337896682360713
71345 -9.801788485914614
56170 -9.82029249168174
9846 -10.02708539426798
39173 -10.069693839376168
58476 -10.073565572344762
4933 -10.07436605441113
49879 -10.08005159615139
37136 -10.085571329428424
13342 -10.109101201750166
26085 -10.143041465525178
75591 -10.143815839222436
26088 -10.14399139581813
25172 -10.14932493195319
77428 -10.151273529481047
78727 -10.151273529481047
60528 -10.164845022647329
58888 -10.167757910809561
22751 -10.168857576575112
24515 -10.185998052103354
3972 -10.200481839647003
16954 -10.208781751938433
16343 -10.217731813816284
15875 -10.228412560071616
68037 -10.256194126552886
26598 -10.259279938938414
65394 -10.271024896383937
39335 -10.2845392953947
32366 -10.316331564057089
25134 -10.33203080119557
73326 -10.339242049665566
67861 -10.37017380811639
67634 -10.370747539528166
84584 -10.383968223758478
16575 -10.393147417564945
20973 -10.452361269240823
9591 -10.485295078326542
59464 -10.56309060098817
28598 -10.585171446312843
80893 -10.613414390914217
76675 -10.658876596133
80709 -10.664411045652367
