Query is the topic title = "Problems illegal aliens U.S."
Doc_ID ModelC_Score
46494 -6.954405212598418
72826 -7.0969161869323285
72899 -7.2066855508138685
75465 -7.890060624139507
75593 -8.027290738677502
58426 -8.235722056861452
58611 -8.254417691336469
83312 -8.46798475883357
83958 -8.469410595554072
55879 -8.512505206360247
78782 -8.69346197312458
75590 -8.758908196797856
83336 -8.812606101461661
83913 -8.83866130237452
83332 -8.914051549838511
83946 -8.918022390462987
44081 -8.9611576555388
72895 -9.016665029046866
75487 -9.018151806233847
43886 -9.058237349516405
73475 -9.067212164068113
83339 -9.099295563853454
11342 -9.157358305019484
75714 -9.182719527759735
46509 -9.192354212477124
71186 -9.21036516482705
16727 -9.255244124457649
11360 -9.316528934590641
73037 -9.344083960442484
76669 -9.403332887408455
83266 -9.431871133133413
82927 -9.458743018713161
67535 -9.473795614972635
85393 -9.476502391372021
21791 -9.49173331372937
82198 -9.49305547410146
16900 -9.501071430152885
81788 -9.502861697896353
8369 -9.515532856502027
83880 -9.527999927306352
86881 -9.527999927306352
41297 -9.53308532398147
83427 -9.534309620687258
64275 -9.539956790803153
9660 -9.540555776594342
35148 -9.570169177125052
3142 -9.638372246222668
47225 -9.640296271419503
64685 -9.641802182275974
83268 -9.645750753890258
20126 -9.654632616339805
83428 -9.662946892270293
24499 -9.673232725173223
24827 -9.678097197345968
55197 -9.687425912244812
49804 -9.696578399205317
86751 -9.708304485767574
72821 -9.711228786163902
83364 -9.712270525290792
24350 -9.718513995877913
9413 -9.719907645124147
67400 -9.732596154669162
22875 -9.771900374268897
22696 -9.77363668878404
15746 -9.79146701696076
11669 -9.79167564607772
16655 -9.79567615742104
63773 -9.841989951408603
83185 -9.862366797421364
58143 -9.873705283834003
31459 -9.907041044950219
51258 -9.989193763260632
