Query is the topic title = "Anti-rejection transplant drugs"
Doc_ID ModelC_Score
74695 -7.040836926423236
35853 -7.282653656817815
54814 -8.899900995732814
67204 -8.966739101267173
54844 -8.994643090039762
74681 -9.044451190732246
54925 -9.058865646334231
84398 -9.100725434748076
6939 -9.138551438063939
9544 -9.14976366930151
64967 -9.168895164795444
32575 -9.190205369279811
58507 -9.202676544820307
85806 -9.239871567560284
57569 -9.240714447511936
74652 -9.246765932452135
35755 -9.291575144395269
77779 -9.310954691104815
62586 -9.330220706286926
8780 -9.331797658973397
71102 -9.385099598515055
37672 -9.394765962411311
61461 -9.409401617909825
60811 -9.412120598387958
10759 -9.415656846643355
85281 -9.429087364774512
86304 -9.469580087107742
32662 -9.479900470616764
49709 -9.486654979586286
82290 -9.489876772695043
60471 -9.509034100213833
81694 -9.51643730316855
28762 -9.527964144909769
28903 -9.543661817856652
13884 -9.55456902303818
37425 -9.556493889751069
73186 -9.581202462053957
4786 -9.584416442772596
61652 -9.599813964536388
56511 -9.611745436569477
28126 -9.647266666659474
48566 -9.717995570870352
79525 -9.742379208094077
62187 -9.753863638051834
65692 -9.760678915244066
5650 -9.88279084973317
78878 -9.890059494309323
