Query is the topic title = "Crime Statistics Great Britain"
Doc_ID ModelC_Score
59659 -5.301329306901665
12890 -9.75494218894884
74917 -9.886848406548049
26301 -9.906041411291865
58438 -10.01417978222004
73337 -10.086349346717977
60928 -10.090738048168577
10616 -10.10478200644801
13142 -10.132505848266183
66785 -10.188539559747538
5870 -10.200805102509161
75562 -10.21866731284248
14567 -10.228223127899854
43806 -10.230435065925995
73397 -10.24861084952687
14098 -10.288642427865565
84627 -10.298747494583408
74790 -10.307874026462663
54608 -10.31904046455631
21172 -10.319349448009033
53308 -10.340706881289869
74778 -10.365550062535183
69112 -10.393972583056348
3169 -10.394410872507898
15065 -10.41562586348016
56579 -10.43478264939171
46142 -10.458300118846788
26253 -10.486634642989365
12892 -10.499651205158475
49545 -10.513577839574069
73372 -10.557019759949062
