Query is the topic title = "Substance abuse crime"
Doc_ID ModelC_Score
35104 9.93557368637708
41487 6.912255099795451
19488 6.374776226812227
79605 4.8351495909328905
46422 3.7411652971039766
3641 2.4635383446321617
3610 1.4325296440909125
43962 1.155523971531625
48692 0.38415618272518137
73988 0.26479887339702957
22906 0.0
52913 0.0
58438 -0.09620310780186636
8768 -0.20791766557112035
37153 -1.6146429601564116
43806 -2.4615560936622227
60227 -2.62077881146753
15404 -2.6543269402546548
78418 -2.983423204787141
83238 -3.093368958667023
42907 -3.190722240214133
60305 -3.3780364532397824
54695 -3.580516946724117
84892 -3.5929271999647416
61191 -3.7680046077880105
70643 -3.78533463656726
11114 -3.829412067449398
59914 -4.09919737912386
25548 -4.1544383097866895
9473 -4.2759936247567385
12740 -4.3140865306799
64168 -4.3218024313938725
76750 -4.379138476747112
76779 -4.37921145455959
34428 -4.4926102038429665
72605 -4.51513001982933
55797 -4.516105924963533
5650 -4.679537371106874
25956 -5.046809721987238
55914 -5.157390654370882
82677 -5.171907831624592
26322 -5.276697311558082
72885 -5.400562619938013
70629 -5.445525494038941
19365 -5.74300355750412
58126 -5.825307941986156
