Query is the topic title = "Sea turtle deaths"
Doc_ID ModelC_Score
66879 -5.467023997141616
61252 -9.360965326544237
27297 -9.658026739197362
65604 -10.007015497041511
85322 -10.011031525645858
78455 -10.131641532387642
82828 -10.143108975615101
3401 -10.15677749271544
46874 -10.164478980373334
85108 -10.177163045225573
81444 -10.211409235424115
13233 -10.224768903415928
63616 -10.234697891250825
78456 -10.245015791996245
15646 -10.26982711916832
22546 -10.284851093357195
4650 -10.291942753937045
23165 -10.300259903033504
28529 -10.304080329084588
39136 -10.306839185560655
81418 -10.310996994117835
21644 -10.316507126039289
80039 -10.327876384986984
77179 -10.341918092567871
78483 -10.354203607910524
80107 -10.363225309609563
30868 -10.410343058883834
50142 -10.410678705501443
48265 -10.411776481006493
33539 -10.4217315176587
15811 -10.426751954166697
5951 -10.477203891280004
53354 -10.478096609809883
74200 -10.480101318987202
21408 -10.492112860900377
81237 -10.495900482638184
49235 -10.506466463198374
24560 -10.528083757738823
56624 -10.554513985479597
62388 -10.577409450063266
51789 -10.613549654575953
49674 -10.618023888976376
54780 -10.62938163513073
52319 -10.644732911955657
11889 -10.646291054736222
55560 -10.650923260922818
30000 -10.65858916419247
11151 -10.697151255665954
47449 -10.722612318261652
74640 -10.80615536551844
