Query is the topic title = "Creutzfeldt-Jakob, mad cow disease"
Doc_ID ModelC_Score
20899 -7.501580286679547
49872 -7.781820425329584
77971 -8.462452501145902
37732 -8.56493352099409
50408 -8.663004987355038
48174 -8.665401460757293
56045 -8.692750777002715
56248 -8.692750777002715
56318 -8.722519825374716
22407 -8.735021575689496
75463 -8.758288989693282
77921 -8.763525058246948
50734 -8.78138993886494
73012 -8.792250873882749
46942 -8.793058334714008
47257 -8.793058334714008
47714 -8.807796285683105
67787 -8.812565383321303
48342 -8.822474627460618
48181 -8.85184751549236
50413 -8.85184751549236
22894 -8.859293222652692
59382 -8.859402923531842
59561 -8.859402923531842
20823 -8.860795603405672
22692 -8.860795603405672
47663 -8.863102085565291
62056 -8.865035399834841
62544 -8.865035399834841
62620 -8.867898120458175
4955 -8.869768629056747
8466 -8.869768629056747
4973 -8.870809436493063
67894 -8.879153228199394
20892 -8.90076281164284
65378 -8.936104421801637
40341 -8.936399513054926
2552 -8.955271823257805
68024 -8.980195894814171
5014 -8.981038957446847
35333 -8.981111845036494
7576 -8.981882934747686
36618 -8.987942110059768
38479 -8.987942110059768
67551 -8.98916739655238
58787 -8.996300336674791
58956 -8.996300336674791
37729 -8.997159669557814
56066 -8.997387640300513
67968 -9.006028784833871
59417 -9.009520565787856
59577 -9.009520565787856
56244 -9.01593651676531
20837 -9.04036607089362
22446 -9.04036607089362
54749 -9.050605325876937
54315 -9.052485355593468
47078 -9.05543008063876
47003 -9.05912558691216
18216 -9.060238604213232
74775 -9.063144619308924
21088 -9.06332268917468
44872 -9.06506484302012
56055 -9.065397909906961
60088 -9.065397909906961
60709 -9.070014999388738
66012 -9.070014999388738
67886 -9.071935968569763
4976 -9.076562148688161
60030 -9.085089221899839
56150 -9.085567444405923
56252 -9.085567444405923
18110 -9.116856579186091
56253 -9.129444744272693
36554 -9.129716676284627
64742 -9.130234482766303
56319 -9.132246802854663
69536 -9.13927772635506
69426 -9.144486017666992
30182 -9.14778808507009
21089 -9.149889929987571
67793 -9.152400568485442
65544 -9.154237461909545
66119 -9.154237461909545
20785 -9.156148236846231
47015 -9.157228815958138
53572 -9.160073029497422
49889 -9.165668629711545
10228 -9.174772502794934
48268 -9.174832034078236
82540 -9.196365985038083
65477 -9.247172456124192
57866 -9.251024223703142
46725 -9.28358718164841
68513 -9.333549308778958
25174 -9.37623543932527
50366 -9.378183167355468
21110 -9.504169631007633
