Query is the topic title = "Pig organ transplants"
Doc_ID ModelC_Score
24747 13.138196467814861
24839 13.138196467814861
41231 13.0642032302094
50076 11.157495935069681
62586 3.190448102467302
5166 1.9383548594758735
58507 1.358993322165203
42485 0.6448092783138334
73930 0.0
71102 -0.19673562060272903
81694 -0.33664008840652937
21113 -0.45196881812162704
79033 -0.6378898807426145
67204 -0.782316813298584
79525 -1.122089951604384
48566 -1.2158322046263688
54844 -1.449134879180911
9544 -1.5378320885082184
37425 -1.7584820359798512
35853 -1.7830249012384831
65692 -2.0601100894464275
