Query is the topic title = "computer simulation"
Doc_ID ModelC_Score
6857 -7.751290356834247
18393 -9.086384842916514
18151 -9.092877816148645
58343 -9.533537004703936
42848 -9.588597302709685
44400 -9.766441925590284
25063 -9.85167246933546
74567 -9.976667434647338
13069 -9.98813843528845
42862 -9.99113363342524
42990 -9.993664741702194
40745 -10.003634891229801
16139 -10.020846958737922
16137 -10.029918047243962
56423 -10.071826283883238
38058 -10.08650496124041
12877 -10.107933004315074
45396 -10.113254992444299
13065 -10.125380580288814
13939 -10.1533793788637
57378 -10.19838055506817
33779 -10.204936043212799
35214 -10.204936043212799
16767 -10.208938104294594
55086 -10.213634057673815
46978 -10.21784998981943
46402 -10.225630091578482
47161 -10.256349707080885
55052 -10.259193609906042
36005 -10.260869425183666
2789 -10.26892846641124
58983 -10.280915998556889
11825 -10.28298648252292
22244 -10.303261158161266
22321 -10.313350492442819
45138 -10.316602265246093
44009 -10.319248423149947
13885 -10.32036106115022
82249 -10.33667916000953
38134 -10.349471819382254
20461 -10.373256559325437
43139 -10.38691606120679
77763 -10.38796176461184
9557 -10.394550379132363
35886 -10.401427081254768
29728 -10.41344013360632
45414 -10.419097071230365
80790 -10.420121378845584
11288 -10.462666158203685
77680 -10.488870380336847
67528 -10.50826716794501
69819 -10.511406539201007
70874 -10.518129105435731
72912 -10.528720255960922
8751 -10.529615836331352
17115 -10.537241024869429
35785 -10.577589465600337
28761 -10.58205860084705
66336 -10.625395927537012
