Query is the topic title = "Illiteracy Arab Africa"
Doc_ID ModelC_Score
54675 -8.149161669841385
26011 -8.18514113344808
68798 -8.195378020157444
83869 -8.287250100567405
54126 -8.29321431164361
53188 -8.37313273129308
45201 -8.454186897427029
39258 -8.549935524972613
39840 -8.575500384962224
8092 -8.593394506889213
48020 -8.614259134694557
26511 -8.620200421248336
19908 -8.635213816075172
50474 -8.675609122487662
69372 -8.69450053371287
28354 -8.80746750618643
15462 -8.884678450496121
41614 -9.007541967725624
38696 -9.071515690612525
34410 -9.099341421233309
7397 -9.180088805887499
85424 -9.19698239516552
6158 -9.198978893883679
86201 -9.216125965799076
9382 -9.266626126975273
60740 -9.285073999177719
62306 -9.375162932483692
54716 -9.384999183407688
