Query is the topic title = "Improving aircraft safety"
Doc_ID ModelC_Score
75564 -8.071880172321437
72134 -8.123482257902449
74605 -8.212312920698572
63379 -8.328223554468815
64896 -8.377091401465194
3666 -8.946871799932971
72032 -9.032656248474733
76550 -9.032656248474733
78628 -9.077221680660847
77430 -9.1025155783154
77431 -9.102932716262323
21673 -9.126451877196605
20778 -9.146041014085158
60421 -9.15607351382773
8511 -9.204933016071529
8828 -9.204933016071529
13600 -9.205404427208316
85188 -9.224069281152644
23698 -9.251373871591813
21265 -9.276752812447166
11744 -9.279365965206864
13519 -9.281645318465324
15334 -9.281645318465324
28717 -9.30084861521665
16678 -9.325490296201185
15583 -9.325901439261088
2510 -9.347504325187456
2511 -9.347504325187456
11852 -9.365347573095896
62309 -9.38653145831574
5185 -9.409693926635997
5189 -9.409693926635997
5175 -9.413811018561791
12097 -9.418036665844694
15211 -9.418036665844694
30864 -9.418938418717088
2977 -9.427920923182901
77687 -9.485304030074149
37657 -9.487186744000685
8310 -9.490912303846628
43129 -9.491634022839866
7798 -9.5001544168333
7799 -9.5001544168333
11690 -9.503639356579113
7041 -9.540695445447062
81564 -9.592991041885314
29116 -9.602717329730735
33769 -9.605822146819508
41351 -9.610709035749732
8872 -9.636512961092803
21077 -9.670033806313755
44232 -9.70395373008174
