Query is the topic title = "Airline passenger disruptions"
Doc_ID ModelC_Score
36575 -1.7692583175520133
76651 -2.9195387908595616
14503 -3.756208533824932
33759 -4.186616642051866
14506 -5.402040099418768
27378 -5.788856211221104
21738 -5.963170673885578
32232 -6.223603725397985
8796 -6.284227629947547
6237 -6.299471813885481
29248 -6.352723262405247
60586 -6.384961515273778
32472 -6.453740118217424
14507 -6.540989991861018
17654 -6.622122844766031
54291 -6.822133028640174
82244 -7.084461965267671
14504 -7.113505741706261
14505 -7.413722172777853
69370 -7.447281519814954
17305 -7.558938615856162
14501 -7.633874003871106
4300 -7.972888082546754
11606 -8.04526020421039
40278 -8.327980826520317
68048 -8.493215416108573
41461 -8.610141796857876
43860 -8.637331822861652
17651 -8.743107025080517
33147 -8.860897658796759
79732 -9.03758839346088
33155 -9.221861740235616
29684 -9.232719124704941
11106 -9.28203000539771
29984 -9.573820526044369
86184 -9.611936372333483
17371 -9.63956392557889
45721 -9.665331702930107
17688 -9.70671383121035
22691 -9.750816411070236
16169 -9.759448013346798
6299 -9.774289056512007
15641 -9.822167128225782
44236 -9.86432858297627
18001 -9.930134301390776
48364 -9.944757804391369
28025 -9.951834333820502
51917 -9.989286930332087
12097 -10.08110774046286
15211 -10.08110774046286
18525 -10.123544253566006
17653 -10.210844151612838
29916 -10.331843567720767
67785 -10.357840470298118
14673 -10.370405952976842
17652 -10.386421874701824
14512 -10.423717643694255
29271 -10.424469659448484
17648 -10.450355914560152
17278 -10.483584644697597
26068 -10.534081878046088
17361 -10.569551834474185
17318 -10.588611706699048
14502 -10.669447542946736
18536 -10.761441695931163
17687 -10.788004881038274
17647 -10.864161582593338
29196 -10.871047521625835
19026 -11.270383569937419
86381 -11.45849107486101
52836 -11.53762996341067
50193 -11.554259171142425
29200 -11.571192415444829
12850 -11.619069565059291
29910 -11.642567846505859
17689 -11.740289404834478
27970 -11.920655070374877
7057 -11.999997301134615
29958 -12.006001190058832
3781 -12.013879338196078
45735 -12.02241920566118
8169 -12.088576021088508
22862 -12.13602305659873
7773 -12.300098469457868
17317 -12.392610920579816
29892 -12.742500614331444
29895 -12.757954063762776
45707 -12.885217828899584
28622 -12.97221636271458
35017 -13.052579476266889
35545 -13.138458971931776
41447 -13.631141659444484
26072 -13.634217907380222
21077 -14.114085141716407
19028 -14.474093956867229
