Query is the topic title = "Germ warfare"
Doc_ID ModelC_Score
72072 28.646137999103214
49904 26.816377033301727
23687 19.44840911112773
12035 4.2538988823644335
32380 4.0696841528162615
32351 3.365605682683089
29668 2.685162193636357
19557 1.9638460628396657
38821 1.9160389162226943
24287 1.755197757746483
70836 1.6148541093774624
12196 1.5482172448562945
54065 1.4794343560401009
12396 1.3987900055443803
9490 0.955890413334339
11944 0.0
12476 0.0
14541 0.0
15478 0.0
17369 0.0
19416 0.0
19877 0.0
29887 0.0
29889 0.0
29909 0.0
3628 0.0
41149 0.0
58000 0.0
8162 0.0
83863 0.0
8506 0.0
9717 0.0
