Query is the topic title = "Drive-by shootings"
Doc_ID ModelC_Score
19409 -8.024417411990678
19411 -8.106089865590402
19420 -8.431601452509389
53361 -8.886887034821592
23349 -8.994587697216428
19417 -9.0443420691865
78572 -9.050465210246262
64482 -9.051861593291747
75429 -9.057378193871939
78574 -9.077034225203667
78580 -9.088135961174
80283 -9.096569883957118
19408 -9.113180137808884
75431 -9.130098792511504
83267 -9.138595137240872
83868 -9.20152156291847
83810 -9.213162572282902
81462 -9.21529201766899
75433 -9.218149596552236
79565 -9.222408612919152
50614 -9.230338467451746
82908 -9.242976258784072
19885 -9.257722893590909
80280 -9.26708646227677
75435 -9.277968246790685
79548 -9.283342002667792
81465 -9.312640753569195
80285 -9.314802747080497
3148 -9.322185876617862
85997 -9.351447835436502
82162 -9.376664543029898
82191 -9.381932653348802
23361 -9.456260817959238
76408 -9.498801969073172
82188 -9.510543378280069
6318 -9.58969869150897
54538 -9.633549547663657
53269 -9.69211296454748
79552 -9.701183452469538
76403 -9.708966842460885
78582 -9.718482516494511
80282 -9.72992282781222
39907 -9.75132034414631
80290 -9.780034325558189
78577 -9.828297612777563
85411 -9.830968219522623
76411 -9.869023917061723
26648 -10.1658465863218
85535 -10.23310343489537
64772 -10.233180365259159
67327 -10.233344202841778
