==========================================================
Table 1. Performance of 3 models on Average Precision (AP)
Topic         Baseline1    Baseline2      Model_C
----------------------------------------------------------
R101             0.665       0.665       0.875
R102             0.793       0.790       0.752
R103             0.383       0.347       0.504
R104             0.915       0.861       0.944
R105             0.765       0.647       0.670
R106             0.425       0.432       0.779
R107             0.360       0.272       0.097
R108             0.125       0.133       0.222
R109             0.635       0.680       0.918
R110             0.487       0.344       0.295
R111             0.131       0.131       0.150
R112             1.000       1.000       1.000
R113             0.635       0.612       0.752
R114             0.885       0.927       0.863
R115             0.325       0.238       0.262
R116             0.301       0.260       0.652
R117             0.269       0.483       0.521
R118             0.294       0.233       0.212
R119             0.132       0.132       0.211
R120             0.523       0.572       0.450
R121             0.601       0.738       0.822
R122             0.553       0.555       0.669
R123             0.477       0.442       0.484
R124             0.391       0.531       0.532
R125             0.686       0.531       0.736
R126             0.579       0.609       0.800
R127             0.575       0.423       0.467
R128             0.329       0.162       0.405
R129             0.502       0.504       0.762
R130             0.698       0.592       0.756
R131             0.425       0.381       0.196
R132             0.219       0.214       0.305
R133             1.000       1.000       0.778
R134             0.174       0.193       0.153
R135             0.392       0.544       0.655
R136             0.365       0.435       0.474
R137             1.000       0.867       0.867
R138             0.185       0.214       0.212
R139             0.867       0.738       1.000
R140             0.813       0.692       0.434
R141             0.844       0.725       0.828
R142             0.177       0.177       0.162
R143             0.130       0.110       0.154
R144             0.376       0.420       0.494
R145             0.046       0.055       0.039
R146             0.398       0.359       0.501
R147             0.644       0.410       0.432
R148             0.349       0.349       0.312
R149             0.200       0.216       0.224
R150             0.419       0.486       0.268
----------------------------------------------------------
MAP              0.489       0.469       0.521
