==========================================================
Table 3. Performance of 3 models on DCG@10
Topic         Baseline1    Baseline2      Model_C
----------------------------------------------------------
R101             3.247       3.247       3.851
R102             3.434       3.434       3.360
R103             2.874       2.432       3.287
R104             5.254       4.868       5.254
R105             4.008       2.754       2.868
R106             1.387       1.688       2.631
R107             1.500       1.062       0.356
R108             0.333       0.333       0.743
R109             3.707       4.219       5.254
R110             1.948       1.710       1.518
R111             0.000       0.000       0.000
R112             3.948       3.948       3.948
R113             3.747       3.219       4.620
R114             3.395       3.448       3.131
R115             1.131       0.887       1.088
R116             1.315       1.000       3.305
R117             0.932       1.301       1.387
R118             1.188       0.764       0.746
R119             0.000       0.000       0.333
R120             3.189       2.918       2.131
R121             3.710       4.233       4.953
R122             2.005       2.005       3.898
R123             1.000       1.000       1.387
R124             2.190       2.374       2.131
R125             4.210       3.453       4.305
R126             2.754       2.934       4.305
R127             2.473       2.044       1.743
R128             1.000       0.631       1.000
R129             2.964       3.196       4.567
R130             1.987       1.764       2.062
R131             1.000       1.000       0.720
R132             1.431       1.431       1.315
R133             3.562       3.562       3.151
R134             0.356       0.631       0.387
R135             0.818       2.667       3.820
R136             2.134       1.833       2.315
R137             2.631       2.431       2.431
R138             0.631       0.333       0.818
R139             2.431       2.000       2.631
R140             4.824       4.254       2.874
R141             4.898       3.765       5.254
R142             0.315       0.315       0.356
R143             0.000       0.000       0.690
R144             1.720       1.782       2.131
R145             0.000       0.000       0.000
R146             1.000       1.000       2.280
R147             2.948       1.877       2.220
R148             0.301       0.301       0.301
R149             0.616       0.649       0.616
R150             1.764       2.202       1.131
----------------------------------------------------------
Average          2.084       1.978       2.312
