==========================================================
Table 2. Performance of 3 models on Precision@10
Topic         Baseline1    Baseline2      Model_C
----------------------------------------------------------
R101             0.500       0.500       0.600
R102             0.600       0.600       0.600
R103             0.500       0.400       0.500
R104             1.000       0.900       1.000
R105             0.700       0.700       0.700
R106             0.200       0.300       0.300
R107             0.200       0.200       0.100
R108             0.100       0.100       0.200
R109             0.600       0.700       1.000
R110             0.400       0.400       0.300
R111             0.000       0.000       0.000
R112             0.600       0.600       0.600
R113             0.600       0.600       0.800
R114             0.500       0.500       0.400
R115             0.200       0.200       0.300
R116             0.200       0.100       0.600
R117             0.200       0.200       0.200
R118             0.300       0.200       0.200
R119             0.000       0.000       0.100
R120             0.600       0.500       0.300
R121             0.600       0.700       0.900
R122             0.400       0.400       0.800
R123             0.100       0.100       0.200
R124             0.400       0.400       0.300
R125             0.700       0.700       0.700
R126             0.700       0.600       0.700
R127             0.500       0.400       0.300
R128             0.100       0.100       0.100
R129             0.400       0.600       0.800
R130             0.300       0.300       0.300
R131             0.100       0.100       0.200
R132             0.200       0.200       0.200
R133             0.500       0.500       0.500
R134             0.100       0.100       0.100
R135             0.200       0.500       0.600
R136             0.400       0.300       0.300
R137             0.300       0.300       0.300
R138             0.100       0.100       0.200
R139             0.300       0.200       0.300
R140             0.900       0.900       0.500
R141             0.900       0.600       1.000
R142             0.100       0.100       0.100
R143             0.000       0.000       0.200
R144             0.300       0.400       0.300
R145             0.000       0.000       0.000
R146             0.100       0.100       0.400
R147             0.500       0.400       0.400
R148             0.100       0.100       0.100
R149             0.200       0.200       0.200
R150             0.400       0.400       0.200
----------------------------------------------------------
Average          0.358       0.350       0.400
